Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z
128114.63,-4280.62,0,1.0,1.0,1.0
117166.64,72422.13,0,1.0,1.0,1.0
126709.64,72422.13,0,1.0,1.0,1.0
44289.63,-5704.62,0,0.25,0.25,0.25
44139.63,50095.1,0,0.25,0.25,0.25
129339.63,-5704.62,0,-0.25,0.25,0.25
129489.63,50095.1,0,-0.25,0.25,0.25
0.0,0.0,0,1.0,1.0,1.0
0.0,0.0,0,1.0,1.0,1.0
44214.63,50945.1,0,200.0,200.0,200.0
44726.25,49457.56,0,200.0,200.0,200.0
44726.25,48595.06,0,200.0,200.0,200.0
44726.25,-6417.15,0,200.0,200.0,200.0
44726.25,-7279.65,0,200.0,200.0,200.0
128903.01,49457.56,0,200.0,200.0,200.0
128903.01,48595.06,0,200.0,200.0,200.0
129414.63,50945.1,0,200.0,200.0,200.0
128903.01,-6417.15,0,200.0,200.0,200.0
128903.01,-7279.65,0,200.0,200.0,200.0
71.55,550.19,0,1.0,1.0,1.0
271.55,550.19,0,1.0,1.0,1.0
271.55,318.11,0,1.0,1.0,1.0
71.55,318.11,0,1.0,1.0,1.0
50.37,510.5,0,1.0,1.0,1.0
50.37,390.5,0,1.0,1.0,1.0
50.37,171.42,0,1.0,1.0,1.0
50.37,291.42,0,1.0,1.0,1.0
219.59,471.43,0,1.0,1.0,1.0
238.26,432.74,0,1.0,1.0,1.0
238.26,415.39,0,1.0,1.0,1.0
238.88,213.65,0,1.0,1.0,1.0
238.88,196.3,0,1.0,1.0,1.0
396.54,550.19,0,1.0,1.0,1.0
596.54,550.19,0,1.0,1.0,1.0
368.62,390.5,0,1.0,1.0,1.0
368.62,510.5,0,1.0,1.0,1.0
370.7,291.42,0,1.0,1.0,1.0
370.7,171.42,0,1.0,1.0,1.0
596.54,318.11,0,1.0,1.0,1.0
396.54,318.11,0,1.0,1.0,1.0
429.16,415.33,0,-1.0,1.0,1.0
429.16,432.68,0,-1.0,1.0,1.0
447.82,471.37,0,-1.0,1.0,1.0
429.15,196.48,0,-1.0,1.0,1.0
429.15,213.84,0,-1.0,1.0,1.0
725.09,167.5,0,1.0,1.0,1.0
-10.8,6.35,0,1.0,1.0,1.0
